week,start_date,end_date,tank,crayfish_id,length,weight,collector_name,notes,berried 
pilot_1,14/06/21,17/06/21,3,C001,44,2.25,SF,,N
pilot_1,14/06/21,17/06/21,7,C002,65,7.5,SF,,N
pilot_1,14/06/21,17/06/21,5,C003,63,9.44,SF,berried,Y
pilot_1,14/06/21,17/06/21,8,C004,76,11.14,SF,,N
pilot_1,14/06/21,17/06/21,6,C005,39,1.54,SF,,N
pilot_1,14/06/21,17/06/21,2,C006,40,2.09,SF,,N
pilot_1,14/06/21,17/06/21,11,C007,55,5.09,SF,,N
pilot_1,14/06/21,17/06/21,12,C008,55,4.43,SF,missing left claw,N
pilot_1,14/06/21,17/06/21,16,C009,52,3.82,SF,missing left claw,N
pilot_1,14/06/21,17/06/21,10,C010,54,4.8,SF,,N
pilot_1,14/06/21,17/06/21,9,C011,43,2.69,SF,,N
pilot_1,14/06/21,17/06/21,13,C012,46,3.1,SF,berried,Y
pilot_2,22/06/21,25/06/21,6,C001,46,2.67,AO,,N
pilot_2,22/06/21,25/06/21,7,C002,69,8.85,AO,,N
pilot_2,22/06/21,25/06/21,2,C003,66,9.58,AO,berried,Y
pilot_2,22/06/21,25/06/21,3,C004,77,12.14,AO,,N
pilot_2,22/06/21,25/06/21,5,C005,44,2.62,AO,,N
pilot_2,22/06/21,25/06/21,4,C006,50,3.11,AO,,N
pilot_2,22/06/21,25/06/21,9,C007,54,4.48,AO,,N
pilot_2,22/06/21,25/06/21,16,C008,52,3.74,AO,,N
pilot_2,22/06/21,25/06/21,10,C009,56,4.79,AO,,N
pilot_2,22/06/21,25/06/21,14,C010,55,4.77,AO,,N
pilot_2,22/06/21,25/06/21,15,C011,49,3.34,AO,,N
pilot_2,22/06/21,25/06/21,13,C012,47,3.38,AO,,N
pilot_3,5/7/2021,8/7/2021,6,C001,42,2.77,SF,berried,Y
pilot_3,5/7/2021,8/7/2021,3,C002,69,8.82,SF,,N
pilot_3,5/7/2021,8/7/2021,8,C003,66,9.58,SF,berried,Y
pilot_3,5/7/2021,8/7/2021,1,C004,74,13.05,SF,berried,Y
pilot_3,5/7/2021,8/7/2021,7,C005,50,3.02,SF,,N
pilot_3,5/7/2021,8/7/2021,5,C006,49,3.07,SF,,N
experiment_1,27/07/2021,30/07/2021,12,C001,45,3.03,AO,,N
experiment_1,27/07/2021,30/07/2021,10,C002,68,9.06,AO,,N
experiment_1,27/07/2021,30/07/2021,11,C003,65,8.95,AO,,N
experiment_1,27/07/2021,30/07/2021,13,C004,70,14.44,AO,berried; babies came off; telson didn't unfold well,Y
experiment_1,27/07/2021,30/07/2021,14,C005,50,4.01,AO,,N
experiment_1,27/07/2021,30/07/2021,9,C006,51,3.43,AO,berried; only ~10 eggs,Y
experiment_1,27/07/2021,30/07/2021,2,C007,59,5.74,AO,,N
experiment_1,27/07/2021,30/07/2021,1,C008,60,5.6,AO,molt,N
experiment_1,27/07/2021,30/07/2021,7,C009,61,6.02,AO,,N
experiment_1,27/07/2021,30/07/2021,5,C010,54,5.52,AO,[berried at time = 36; added from ex. data notes],Y
experiment_1,27/07/2021,30/07/2021,6,C011,59,4.87,AO,,N
experiment_1,27/07/2021,30/07/2021,4,C012,59,5.37,AO,molt,N
experiment_2,3/8/2021,6/8/2021,9,C001,44,2.59,SF,,N
experiment_2,3/8/2021,6/8/2021,13,C002,67,9.48,SF,,N
experiment_2,3/8/2021,6/8/2021,12,C003,68,8.21,SF,,N
experiment_2,3/8/2021,6/8/2021,16,C004,76,12.66,SF,,N
experiment_2,3/8/2021,6/8/2021,11,C005,51,3.54,SF,,N
experiment_2,3/8/2021,6/8/2021,14,C006,48,3.45,SF,,N
experiment_2,3/8/2021,6/8/2021,3,C007,58,5.4,SF,,N
experiment_2,3/8/2021,6/8/2021,8,C008,61,5.46,SF,,N
experiment_2,3/8/2021,6/8/2021,5,C009,60,5.77,SF,"tiny front, left claw",N
experiment_2,3/8/2021,6/8/2021,7,C010,53,5.53,SF,berried,Y
experiment_2,3/8/2021,6/8/2021,4,C011,54,4.3,SF,,N
experiment_2,3/8/2021,6/8/2021,2,C012,59,5.09,SF,,N
experiment_3,10/8/2021,8/13/2021,8,C007,60,6.43,SK,,N
experiment_3,10/8/2021,8/13/2021,2,C008,61,5.92,SK,,N
experiment_3,10/8/2021,8/13/2021,7,C009,62,6.09,SK,,N
experiment_3,10/8/2021,8/13/2021,4,C010,59,5.44,SK,,N
experiment_3,10/8/2021,8/13/2021,5,C011,53,5.03,SK,berried,Y
experiment_3,10/8/2021,8/13/2021,3,C012,59,6.85,SK,,N
pilot_ex_un_v_in_1,27/09/21,30/09/21,14,C001,57,4.76,SF,berried,Y
pilot_ex_un_v_in_1,27/09/21,30/09/21,10,C002,74,10.32,SF,,N
pilot_ex_un_v_in_1,27/09/21,30/09/21,12,C005,58,5.13,SF,,N
pilot_ex_un_v_in_1,27/09/21,30/09/21,15,C006,57,5.47,SF,berried,Y
pilot_ex_un_v_in_1,27/09/21,30/09/21,3,C007,62,6.09,SF,,N
pilot_ex_un_v_in_1,27/09/21,30/09/21,6,C008,62,5.97,SF,,N
pilot_ex_un_v_in_1,27/09/21,30/09/21,1,C010,62,6.87,SF,,N
pilot_ex_un_v_in_1,27/09/21,30/09/21,4,C012,59,5.29,SF,,N
ex_un_v_in_1,25/10/21,28/10/21,14,C001,60,4.73,SF,,N
ex_un_v_in_1,25/10/21,28/10/21,10,C002,74,10.57,SF,,N
ex_un_v_in_1,25/10/21,28/10/21,12,C005,57,5.46,SF,berried,Y
ex_un_v_in_1,25/10/21,28/10/21,15,C006,64,6.14,SF,,N
ex_un_v_in_1,25/10/21,28/10/21,3,C007,60,7.39,SF,berried,Y
ex_un_v_in_1,25/10/21,28/10/21,6,C008,62,6.6,SF,berried,Y
ex_un_v_in_1,25/10/21,28/10/21,1,C009,65,6.37,SF,berried,Y
ex_un_v_in_1,25/10/21,28/10/21,4,C012,64,6.45,SF,berried,Y
ex_un_v_in_2,1/11/2021,4/11/2021,1,C012,63,7.42,AO,berried,Y
ex_un_v_in_2,1/11/2021,4/11/2021,5,C009,62,7.18,AO,,N
ex_un_v_in_2,1/11/2021,4/11/2021,6,C008,62,7.22,AO,,N
ex_un_v_in_2,1/11/2021,4/11/2021,8,C013,75,9.3,AO,C007 died; replaced with a crayfish from the bottom right housing tank (C013),N
ex_un_v_in_2,1/11/2021,4/11/2021,11,C002,72,11.39,AO,,N
ex_un_v_in_2,1/11/2021,4/11/2021,12,C006,63,6.29,AO,,N
ex_un_v_in_2,1/11/2021,4/11/2021,13,C005,59,6.3,AO,,N
ex_un_v_in_2,1/11/2021,4/11/2021,16,C001,59,6.19,AO,,N
ex_un_v_in_3,8/11/2021,11/11/2021,5,C012,64,7.55,AO ,berried,Y
ex_un_v_in_3,8/11/2021,11/11/2021,3,C013,74,10.05,AO ,,N
ex_un_v_in_3,8/11/2021,11/11/2021,1,C009,63,7.25,AO ,,N
ex_un_v_in_3,8/11/2021,11/11/2021,7,C008,74,8.07,AO ,,N
ex_un_v_in_4,29/11/21,2/12/2021,3,C001,58,6.98,AO,berried,Y
ex_un_v_in_4,29/11/21,2/12/2021,1,C002,82,13.38,AO,,N
ex_un_v_in_4,29/11/21,2/12/2021,8,C005,64,7.18,AO,,N
ex_un_v_in_4,29/11/21,2/12/2021,7,C011,63,6.37,AO,,N
ex_un_v_in_5,6/12/2021,9/12/2021,8,C001,58,6.32,AO,,N
ex_un_v_in_5,6/12/2021,9/12/2021,5,C002,83,12.6,AO,,N
ex_un_v_in_5,6/12/2021,9/12/2021,16,C014,67,6.72,AO,,N
ex_un_v_in_5,6/12/2021,9/12/2021,1,C005,63,7.37,AO,,N
ex_un_v_in_5,6/12/2021,9/12/2021,9,C008,72,7.79,AO,,N
ex_un_v_in_5,6/12/2021,9/12/2021,11,C013,76,10.77,AO,,N
ex_un_v_in_5,6/12/2021,9/12/2021,2,C011,67,7.14,AO,molt,N
ex_un_v_in_5,6/12/2021,9/12/2021,14,C012,68,8.34,AO,partially molted? claw & carapace in tank ,N
ex_un_v_in_6,13/12/21,16/12/21,6,C001,58,5.21,AO,,N
