week,experiment_day,trial_day,start_time,start_date,end_time,end_date,time,tank,snail_species,temp,condition,infection_status,crayfish_id,snail_density,snails_out,snails_lettuce,snails_sheltered,snails_under_shelter,snails_open ,snails_remaining,empty_shells,dead_snails,snails_consumed,snails_added,collector_name,notes,dodgey_remove,molt
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,0,1,bulinus,25,control_2,uninfected,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,SK,,Y,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,0,2,biomph,25,pilot,uninfected,C006,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,SK,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,0,3,bulinus,25,pilot,uninfected,C001,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,SK,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,0,4,biomph,25,control_1,uninfected,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,SK,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,0,5,bulinus,25,pilot,uninfected,C003,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,SK,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,0,6,biomph,25,pilot,uninfected,C005,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,SK,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,0,7,bulinus,25,pilot,uninfected,C002,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,SK,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,0,8,biomph,25,pilot,uninfected,C004,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,SK,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,0,9,bulinus,30,pilot,uninfected,C011,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,AO,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,0,10,biomph,30,pilot,uninfected,C010,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,AO,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,0,11,bulinus,30,pilot,uninfected,C007,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,AO,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,0,12,biomph,30,pilot,uninfected,C008,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,AO,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,0,13,bulinus,30,pilot,uninfected,C012,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,AO,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,0,14,biomph,30,control_2,uninfected,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,AO,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,0,15,bulinus,30,control_1,uninfected,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,AO,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,0,16,biomph,30,pilot,uninfected,C009,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,AO,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,12,1,bulinus,25,control_2,uninfected,NA,12,6,2,NA,NA,3,11,0,0,NA,12,SF_RP,1 snail missing; control cannot be consumed,Y,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,12,2,biomph,25,pilot,uninfected,C006,12,2,5,0,NA,3,10,0,0,2,12,SF_RP,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,12,3,bulinus,25,pilot,uninfected,C001,12,3,3,0,NA,5,11,0,0,1,12,SF_RP,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,12,4,biomph,25,control_1,uninfected,NA,12,0,8,NA,NA,4,12,0,0,NA,12,SF_RP,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,12,5,bulinus,25,pilot,uninfected,C003,12,7,0,0,NA,2,9,0,0,3,12,SF_RP,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,12,6,biomph,25,pilot,uninfected,C005,12,0,7,0,NA,5,12,0,0,0,12,SF_RP,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,12,7,bulinus,25,pilot,uninfected,C002,12,5,2,0,NA,1,8,0,0,4,12,SF_RP,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,12,8,biomph,25,pilot,uninfected,C004,12,0,2,0,NA,4,6,1,0,5,12,SF_RP,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,12,9,bulinus,30,pilot,uninfected,C011,12,0,2,0,NA,7,9,0,0,3,12,SF_HF,,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,12,10,biomph,30,pilot,uninfected,C010,12,5,2,0,NA,0,7,3,0,2,12,SF_HF,piece of shell = counted,N,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,12,11,bulinus,30,pilot,uninfected,C007,12,0,0,0,NA,9,9,2,0,1,12,SF_HF,,Y,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,12,12,biomph,30,pilot,uninfected,C008,12,2,5,0,NA,2,9,0,0,3,12,SF_HF,,Y,N
pilot_1,1,1,7:00,14/06/2021,20:04,14/06/2021,12,13,bulinus,30,pilot,uninfected,C012,12,3,0,1,NA,5,9,0,0,3,12,SF_HF,,Y,N
